low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,≤6h,<$1K,baseline,306,0.1830065359477124,0.8300653594771239,106,0.19811320754716982,0.9811320754716981,0.1,true,false
0.05,0.1,≤6h,<$1K,EXP_HIGH+MID ≥50%,51,0.23529411764705882,1.3529411764705879,23,0.17391304347826086,0.7391304347826086,0.1,true,false
0.05,0.1,≤6h,<$1K,EXP_HIGH+MID ≥80%,45,0.26666666666666666,1.6666666666666665,22,0.18181818181818182,0.8181818181818181,0.1,true,false
0.05,0.1,≤6h,<$1K,FRESH+NEW+SEMI ≥50% (fade),161,0.19875776397515527,0.9875776397515525,50,0.22,1.1999999999999997,0.1,true,false
0.05,0.1,≤6h,$1K-10K,baseline,300,0.11,0.09999999999999987,178,0.05056179775280899,-0.4943820224719102,0.1,false,false
0.05,0.1,≤6h,$1K-10K,EXP_HIGH+MID ≥50%,79,0.08860759493670886,-0.11392405063291144,50,0.08,-0.20000000000000007,0.1,false,true
0.05,0.1,≤6h,$1K-10K,EXP_HIGH+MID ≥80%,62,0.08064516129032258,-0.19354838709677424,39,0.10256410256410256,0.02564102564102555,0.1,false,false
0.05,0.1,≤6h,$1K-10K,nw≥4 + EXP_HIGH+MID ≥50%,15,0.06666666666666667,-0.33333333333333337,13,0.0,-1.0,0.1,false,true
0.05,0.1,≤6h,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),120,0.08333333333333333,-0.16666666666666674,63,0.047619047619047616,-0.5238095238095238,0.1,false,true
0.05,0.1,≤6h,$10K-100K,baseline,1579,0.10512982900569981,0.05129829005699804,690,0.10869565217391304,0.08695652173913038,0.1,true,false
0.05,0.1,≤6h,$10K-100K,EXP_HIGH+MID ≥50%,288,0.17708333333333334,0.7708333333333333,205,0.18048780487804877,0.8048780487804876,0.1,true,false
0.05,0.1,≤6h,$10K-100K,EXP_HIGH+MID ≥80%,215,0.20930232558139536,1.0930232558139537,158,0.17088607594936708,0.7088607594936707,0.1,true,false
0.05,0.1,≤6h,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,91,0.10989010989010989,0.09890109890109877,67,0.1791044776119403,0.7910447761194028,0.1,true,false
0.05,0.1,≤6h,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),761,0.07621550591327202,-0.23784494086727992,245,0.053061224489795916,-0.4693877551020409,0.1,false,true
