low,high,dur_label,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,≤1h,baseline,2514,0.10938743038981702,0.0938743038981702,1301,0.1037663335895465,0.037663335895465,0.1,true,false
0.05,0.1,≤1h,EXP_HIGH+MID ≥50%,435,0.1632183908045977,0.632183908045977,401,0.14713216957605985,0.47132169576059835,0.1,true,false
0.05,0.1,≤1h,EXP_HIGH+MID ≥80%,327,0.1926605504587156,0.926605504587156,322,0.13354037267080746,0.3354037267080745,0.1,true,false
0.05,0.1,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,121,0.11570247933884298,0.15702479338842967,140,0.17857142857142858,0.7857142857142856,0.1,true,false
0.05,0.1,≤1h,FRESH+NEW+SEMI ≥50% (fade),1241,0.08702659145850121,-0.129734085414988,458,0.06331877729257641,-0.3668122270742359,0.1,false,true
0.05,0.1,≤6h,baseline,3094,0.10277957336780866,0.02779573367808652,1567,0.10784939374601149,0.0784939374601148,0.1,true,false
0.05,0.1,≤6h,EXP_HIGH+MID ≥50%,561,0.14795008912655971,0.47950089126559714,483,0.15320910973084886,0.5320910973084885,0.1,true,false
0.05,0.1,≤6h,EXP_HIGH+MID ≥80%,409,0.17359413202933985,0.7359413202933984,373,0.14209115281501342,0.4209115281501341,0.1,true,false
0.05,0.1,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,188,0.10106382978723404,0.010638297872340274,188,0.18617021276595744,0.8617021276595742,0.1,true,false
0.05,0.1,≤6h,FRESH+NEW+SEMI ≥50% (fade),1503,0.08715901530272788,-0.1284098469727213,540,0.06666666666666667,-0.33333333333333337,0.1,false,true
0.05,0.1,≤24h,baseline,3378,0.10213143872113677,0.02131438721136769,1684,0.10688836104513064,0.0688836104513062,0.1,true,false
0.05,0.1,≤24h,EXP_HIGH+MID ≥50%,626,0.14376996805111822,0.43769968051118213,513,0.15009746588693956,0.5009746588693955,0.1,true,false
0.05,0.1,≤24h,EXP_HIGH+MID ≥80%,442,0.16968325791855204,0.6968325791855203,392,0.14030612244897958,0.40306122448979576,0.1,true,false
0.05,0.1,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,232,0.08620689655172414,-0.13793103448275856,206,0.17475728155339806,0.7475728155339805,0.1,false,false
0.05,0.1,≤24h,FRESH+NEW+SEMI ≥50% (fade),1611,0.08690254500310367,-0.1309745499689634,575,0.06782608695652174,-0.32173913043478264,0.1,false,true
0.05,0.1,all,baseline,3619,0.09947499309201437,-0.005250069079856368,1743,0.10613884107860011,0.06138841078600099,0.1,false,false
0.05,0.1,all,EXP_HIGH+MID ≥50%,675,0.1362962962962963,0.36296296296296293,537,0.14711359404096835,0.47113594040968354,0.1,true,false
0.05,0.1,all,EXP_HIGH+MID ≥80%,466,0.1609442060085837,0.6094420600858368,404,0.13861386138613863,0.38613861386138626,0.1,true,false
0.05,0.1,all,nw≥4 + EXP_HIGH+MID ≥50%,268,0.08208955223880597,-0.17910447761194037,225,0.1688888888888889,0.6888888888888889,0.1,false,false
0.05,0.1,all,FRESH+NEW+SEMI ≥50% (fade),1711,0.08416130917592052,-0.15838690824079482,592,0.06925675675675676,-0.30743243243243246,0.1,false,true
0.05,0.15,≤1h,baseline,1426,0.1640953716690042,0.09396914446002813,711,0.14486638537271448,-0.034224097515236696,0.15,false,false
0.05,0.15,≤1h,EXP_HIGH+MID ≥50%,271,0.23247232472324722,0.5498154981549814,226,0.20353982300884957,0.3569321533923304,0.15,true,false
0.05,0.15,≤1h,EXP_HIGH+MID ≥80%,192,0.2708333333333333,0.8055555555555556,169,0.1952662721893491,0.30177514792899407,0.15,true,false
0.05,0.15,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,97,0.18556701030927836,0.23711340206185572,100,0.25,0.6666666666666667,0.15,true,false
0.05,0.15,≤1h,FRESH+NEW+SEMI ≥50% (fade),684,0.1301169590643275,-0.13255360623781665,248,0.10080645161290322,-0.32795698924731187,0.15,false,true
0.05,0.15,≤6h,baseline,1785,0.15518207282913166,0.03454715219421112,905,0.15027624309392265,0.0018416206261511192,0.15,true,false
0.05,0.15,≤6h,EXP_HIGH+MID ≥50%,359,0.2116991643454039,0.41132776230269275,297,0.20875420875420875,0.39169472502805847,0.15,true,false
0.05,0.15,≤6h,EXP_HIGH+MID ≥80%,242,0.24793388429752067,0.6528925619834711,204,0.20588235294117646,0.37254901960784315,0.15,true,false
0.05,0.15,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,152,0.15789473684210525,0.05263157894736836,147,0.24489795918367346,0.6326530612244898,0.15,true,false
0.05,0.15,≤6h,FRESH+NEW+SEMI ≥50% (fade),841,0.1272294887039239,-0.15180340864050734,300,0.11,-0.2666666666666666,0.15,false,true
0.05,0.15,≤24h,baseline,1986,0.1510574018126888,0.007049345417925457,1005,0.1472636815920398,-0.018242122719734577,0.15,false,false
0.05,0.15,≤24h,EXP_HIGH+MID ≥50%,407,0.20147420147420148,0.34316134316134317,326,0.20552147239263804,0.37014314928425374,0.15,true,false
0.05,0.15,≤24h,EXP_HIGH+MID ≥80%,259,0.24324324324324326,0.6216216216216217,219,0.2054794520547945,0.36986301369863006,0.15,true,false
0.05,0.15,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,187,0.1497326203208556,-0.0017825311942959443,171,0.23391812865497075,0.5594541910331383,0.15,false,false
0.05,0.15,≤24h,FRESH+NEW+SEMI ≥50% (fade),916,0.12336244541484716,-0.1775836972343523,326,0.11042944785276074,-0.263803680981595,0.15,false,true
0.05,0.15,all,baseline,2212,0.14466546112115733,-0.035563592525617804,1067,0.14620431115276475,-0.025304592314901675,0.15,false,true
0.05,0.15,all,EXP_HIGH+MID ≥50%,445,0.1842696629213483,0.22846441947565532,352,0.20454545454545456,0.36363636363636376,0.15,true,false
0.05,0.15,all,EXP_HIGH+MID ≥80%,275,0.2290909090909091,0.5272727272727273,229,0.2096069868995633,0.3973799126637554,0.15,true,false
0.05,0.15,all,nw≥4 + EXP_HIGH+MID ≥50%,217,0.12903225806451613,-0.13978494623655913,196,0.22448979591836735,0.4965986394557824,0.15,false,false
0.05,0.15,all,FRESH+NEW+SEMI ≥50% (fade),1002,0.1217564870259481,-0.1882900864936793,341,0.11143695014662756,-0.2570869990224829,0.15,false,true
0.05,0.2,≤1h,baseline,899,0.22024471635150167,0.10122358175750823,443,0.18284424379232506,-0.08577878103837477,0.2,false,false
